poliza_id,policy_number,poliza_renovacion,cartera_renovaciones,count_items,issue
200002,4308007629501000,1,[np.int64(0)],1,renovacion_mismatch
200005,4308007630433000,1,[np.int64(0)],1,renovacion_mismatch
200007,4308007634784000,1,[np.int64(0)],1,renovacion_mismatch
200015,4308007627710000,1,[np.int64(0)],1,renovacion_mismatch
200019,10565200541340,1,[np.int64(0)],1,renovacion_mismatch
200020,1901124000252,5,[np.int64(0)],3,renovacion_mismatch
200026,4308007624910000,1,[np.int64(0)],1,renovacion_mismatch
200028,10565200540420,4,[np.int64(0)],1,renovacion_mismatch
200029,10565200540430,4,[np.int64(0)],1,renovacion_mismatch
200041,4308007617915000,3,[np.int64(0)],1,renovacion_mismatch
200042,95723986,1,[np.int64(0)],1,renovacion_mismatch
200045,1000005352,1,[np.int64(0)],2,renovacion_mismatch
200047,10565200540890,4,[np.int64(0)],1,renovacion_mismatch
200065,PE236157,2,[np.int64(0)],3,renovacion_mismatch
200070,1000005316,4,[np.int64(0)],1,renovacion_mismatch
200071,1000005342,4,[np.int64(0)],3,renovacion_mismatch
200072,1000005345,1,[np.int64(0)],1,renovacion_mismatch
200073,1000005346,3,[np.int64(0)],1,renovacion_mismatch
200074,1000005347,1,[np.int64(0)],2,renovacion_mismatch
200075,1000005318,5,[np.int64(0)],3,renovacion_mismatch
200079,4308007608588000,1,[np.int64(0)],1,renovacion_mismatch
200083,95709011,2,[np.int64(0)],1,renovacion_mismatch
200091,4308007603888000,1,[np.int64(0)],1,renovacion_mismatch
200093,4308007606408000,1,[np.int64(0)],1,renovacion_mismatch
200095,4308007606119000,1,[np.int64(0)],1,renovacion_mismatch
200098,994000000061-1,5,[np.int64(0)],1,renovacion_mismatch
200099,PI320861,4,[np.int64(0)],1,renovacion_mismatch
200100,1000145,5,[np.int64(0)],1,renovacion_mismatch
200101,300000146,3,[np.int64(0)],1,renovacion_mismatch
200102,101000162-4,1,[np.int64(0)],1,renovacion_mismatch
200105,4308007604948000,3,[np.int64(0)],1,renovacion_mismatch
200106,4308007605062000,1,[np.int64(0)],1,renovacion_mismatch
200108,101000971-1,1,[np.int64(0)],1,renovacion_mismatch
200110,101007911,5,[np.int64(0)],1,renovacion_mismatch
200113,PI320688,3,[np.int64(0)],1,renovacion_mismatch
200114,101001149,3,[np.int64(0)],1,renovacion_mismatch
200115,101001165,5,[np.int64(0)],1,renovacion_mismatch
200116,1000003675,5,[np.int64(0)],1,renovacion_mismatch
200117,1000156,2,[np.int64(0)],1,renovacion_mismatch
200120,101007919,1,[np.int64(0)],6,renovacion_mismatch
200122,PE270984,1,[np.int64(0)],2,renovacion_mismatch
200123,101000866-3,3,[np.int64(0)],1,renovacion_mismatch
200124,101000880-3,3,[np.int64(0)],1,renovacion_mismatch
200125,101000864-3,3,[np.int64(0)],1,renovacion_mismatch
200126,101000878-3,3,[np.int64(0)],1,renovacion_mismatch
200127,101000956-1,1,[np.int64(0)],1,renovacion_mismatch
200131,2000607245,1,[np.int64(0)],1,renovacion_mismatch
200135,105652005391000,1,[np.int64(0)],1,renovacion_mismatch
200141,1000005315,1,[np.int64(0)],4,renovacion_mismatch
200143,430800759648000,1,[np.int64(0)],1,renovacion_mismatch
200144,1000005359,1,[np.int64(0)],1,renovacion_mismatch
200163,10565200537700,1,[np.int64(0)],1,renovacion_mismatch
200172,4308007573772000,2,[np.int64(0)],1,renovacion_mismatch
200179,4308007578222000,1,[np.int64(0)],1,renovacion_mismatch
200180,4308007577984000,2,[np.int64(0)],1,renovacion_mismatch
200182,10565200536710,1,[np.int64(0)],1,renovacion_mismatch
200183,10565200536720,1,[np.int64(0)],1,renovacion_mismatch
200192,4308007574725000,1,[np.int64(0)],1,renovacion_mismatch
200196,4308007578911000,1,[np.int64(0)],1,renovacion_mismatch
200197,4308007578415000,1,[np.int64(0)],1,renovacion_mismatch
200202,4308007568531000,1,[np.int64(0)],1,renovacion_mismatch
200203,95411107,6,[np.int64(0)],1,renovacion_mismatch
200204,95411026,3,[np.int64(0)],1,renovacion_mismatch
200205,95410876,6,[np.int64(0)],1,renovacion_mismatch
200206,95410738,6,[np.int64(0)],1,renovacion_mismatch
200207,4308007573009000,7,[np.int64(0)],1,renovacion_mismatch
200211,4308007573436000,2,[np.int64(0)],1,renovacion_mismatch
200238,4308007562037000,3,[np.int64(0)],1,renovacion_mismatch
200239,95379422,2,[np.int64(0)],1,renovacion_mismatch
200242,4308007563044000,1,[np.int64(0)],1,renovacion_mismatch
200257,95379953,3,[np.int64(0)],1,renovacion_mismatch
200259,4308007555094000,1,[np.int64(0)],1,renovacion_mismatch
200260,4308007553324000,1,[np.int64(0)],1,renovacion_mismatch
200270,4308007550381000,1,[np.int64(0)],1,renovacion_mismatch
200273,101001148,1,[np.int64(0)],1,renovacion_mismatch
200274,101001164,1,[np.int64(0)],1,renovacion_mismatch
200282,101000713-1,4,[np.int64(0)],1,renovacion_mismatch
200283,AB000210/CERTIFICADO,3,[np.int64(0)],1,renovacion_mismatch
200285,4308007549891000,1,[np.int64(0)],1,renovacion_mismatch
200287,4308007551077000,1,[np.int64(0)],1,renovacion_mismatch
200290,4308007544021000,1,[np.int64(0)],1,renovacion_mismatch
200300,4308007541719000,1,[np.int64(0)],1,renovacion_mismatch
200302,95332631,1,[np.int64(0)],1,renovacion_mismatch
200310,10565200532750,1,[np.int64(0)],1,renovacion_mismatch
200313,4308007539194000,1,[np.int64(0)],1,renovacion_mismatch
200318,4308007535787000,1,[np.int64(0)],1,renovacion_mismatch
200328,4308007533920000,1,[np.int64(0)],1,renovacion_mismatch
200329,4308007533062000,2,[np.int64(0)],1,renovacion_mismatch
200336,4308007536833000,1,[np.int64(0)],1,renovacion_mismatch
200337,4308007536807000,1,[np.int64(0)],1,renovacion_mismatch
200338,1000137,1,[np.int64(0)],1,renovacion_mismatch
200342,1000153,4,[np.int64(0)],3,renovacion_mismatch
200343,1000000835-3,3,[np.int64(0)],1,renovacion_mismatch
200345,1000140,1,[np.int64(0)],1,renovacion_mismatch
200348,1408004228550000,3,[np.int64(0)],1,renovacion_mismatch
200349,1408004228551000,3,[np.int64(0)],1,renovacion_mismatch
200350,95305377,3,[np.int64(0)],1,renovacion_mismatch
200351,95305733,3,[np.int64(0)],1,renovacion_mismatch
200352,953057777,3,[np.int64(0)],1,renovacion_mismatch
200353,101000466-3,2,[np.int64(0)],1,renovacion_mismatch
200354,101000465-2,2,[np.int64(0)],1,renovacion_mismatch
200356,95308417,1,[np.int64(0)],1,renovacion_mismatch
200364,PE270292,5,[np.int64(0)],2,renovacion_mismatch
200365,1408004228549000,4,[np.int64(0)],1,renovacion_mismatch
200366,PI318443,1,[np.int64(0)],10,renovacion_mismatch
200367,4308007527403000,3,[np.int64(0)],1,renovacion_mismatch
200368,1000135,5,[np.int64(0)],1,renovacion_mismatch
200369,2000604302,5,[np.int64(0)],1,renovacion_mismatch
200370,994000000052-1,5,[np.int64(0)],3,renovacion_mismatch
200371,AA005712-5,5,[np.int64(0)],3,renovacion_mismatch
200372,4308007527956000,1,[np.int64(0)],1,renovacion_mismatch
200373,4308007527702000,1,[np.int64(0)],1,renovacion_mismatch
200388,4308007520397000,1,[np.int64(0)],1,renovacion_mismatch
200389,1408004228365000,1,[np.int64(0)],1,renovacion_mismatch
200395,4308007523356000,3,[np.int64(0)],1,renovacion_mismatch
200396,4308007523062000,3,[np.int64(0)],1,renovacion_mismatch
200414,4308007513468000,2,[np.int64(0)],1,renovacion_mismatch
200418,4308007514737000,1,[np.int64(0)],1,renovacion_mismatch
200419,4308007513517000,1,[np.int64(0)],1,renovacion_mismatch
200420,1000152,4,[np.int64(0)],1,renovacion_mismatch
200421,4308007513858000,1,[np.int64(0)],1,renovacion_mismatch
200435,PI316523,1,[np.int64(0)],1,renovacion_mismatch
200436,AA005636/AB006315,4,[np.int64(0)],2,renovacion_mismatch
200440,4308007510988000,3,[np.int64(0)],1,renovacion_mismatch
200443,4308007510648000,1,[np.int64(0)],1,renovacion_mismatch
200455,PE267446,1,[np.int64(0)],2,renovacion_mismatch
200456,PE236394,2,[np.int64(0)],30,renovacion_mismatch
200464,94904810,1,[np.int64(0)],1,renovacion_mismatch
200478,4308007503367000,1,[np.int64(0)],1,renovacion_mismatch
200479,43080075035535000,1,[np.int64(0)],1,renovacion_mismatch
200488,2000496800/1805330903,5,[np.int64(0)],1,renovacion_mismatch
200493,94856412 NR,1,[np.int64(0)],1,renovacion_mismatch
200494,AB000189/AB006444,2,[np.int64(0)],3,renovacion_mismatch
200497,4308007503494000,1,[np.int64(0)],1,renovacion_mismatch
200502,94786057 NR,1,[np.int64(0)],1,renovacion_mismatch
200503,94793053 NR,1,[np.int64(0)],1,renovacion_mismatch
200505,105000287,5,[np.int64(0)],1,renovacion_mismatch
200506,2000364771/1805329025,2,[np.int64(0)],2,renovacion_mismatch
200508,4308007498378000,1,[np.int64(0)],1,renovacion_mismatch
200529,4308007495040000,1,[np.int64(0)],1,renovacion_mismatch
200547,4308007495599000,1,[np.int64(0)],1,renovacion_mismatch
200553,4308007493995000,1,[np.int64(0)],1,renovacion_mismatch
200554,4308007492959000,3,[np.int64(0)],1,renovacion_mismatch
200558,1408004227737000,2,[np.int64(0)],1,renovacion_mismatch
200564,101000542-1,3,[np.int64(0)],1,renovacion_mismatch
200568,4308007411371000,4,[np.int64(0)],1,renovacion_mismatch
200571,PI313070,1,[np.int64(0)],6,renovacion_mismatch
200572,AA005407 CERTIFICADO AB006441,4,[np.int64(0)],1,renovacion_mismatch
200574,1901123003754-2,2,[np.int64(0)],1,renovacion_mismatch
200575,1408004227735000,6,[np.int64(0)],1,renovacion_mismatch
200576,1408004227734000,7,[np.int64(0)],1,renovacion_mismatch
200579,4308007484381000,1,[np.int64(0)],1,renovacion_mismatch
200582,4308007409092000,1,[np.int64(0)],1,renovacion_mismatch
200586,4308007410661000,1,[np.int64(0)],1,renovacion_mismatch
200589,4308007407538000,1,[np.int64(0)],1,renovacion_mismatch
200591,4308007406460000,1,[np.int64(0)],1,renovacion_mismatch
200593,4308007408852000,1,[np.int64(0)],1,renovacion_mismatch
200596,4308007408962000,1,[np.int64(0)],1,renovacion_mismatch
200600,4308007487972000,1,[np.int64(0)],1,renovacion_mismatch
200603,4308007405840000,1,[np.int64(0)],1,renovacion_mismatch
200604,1000136,2,[np.int64(0)],1,renovacion_mismatch
200607,4308007404553000,1,[np.int64(0)],1,renovacion_mismatch
200608,4308007404496000,1,[np.int64(0)],1,renovacion_mismatch
200609,94149049,1,[np.int64(0)],1,renovacion_mismatch
200613,94152583,1,[np.int64(0)],1,renovacion_mismatch
200621,4308007403055000,1,[np.int64(0)],1,renovacion_mismatch
200626,4308007403110000,1,[np.int64(0)],1,renovacion_mismatch
200628,4308007479613000,1,[np.int64(0)],1,renovacion_mismatch
200629,4308007479749000,1,[np.int64(0)],1,renovacion_mismatch
200632,4308007479358000,1,[np.int64(0)],1,renovacion_mismatch
200635,4308007481388000,2,[np.int64(0)],1,renovacion_mismatch
